time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.101 sec,7.671,108.948,25.307,6.031,-6.497,26.716,1.173,-1.171,6.554,2.347,-2.342,13.108,25.084,15.521,-137.953,206.54,-0.231,0.325,0.398,4.95,4.892,-35.369,-0.333,0.086,0.388,14.814,8.562,-13.721,-0.383,0.11,0.392,0.847,1.921,-10.548
0.102 sec,8.102,107.175,24.658,5.971,-6.366,26.283,1.184,-1.167,6.44,2.369,-2.334,12.881,24.938,15.733,-145.507,206.336,-0.229,0.325,0.398,4.948,4.878,-35.643,-0.332,0.087,0.388,15.062,8.572,-14.192,-0.382,0.111,0.393,0.851,1.949,-10.965
0.103 sec,8.448,105.621,24.058,5.92,-6.242,25.904,1.195,-1.163,6.338,2.39,-2.327,12.676,24.804,15.919,-152.029,206.095,-0.228,0.326,0.399,4.947,4.866,-35.879,-0.331,0.087,0.389,15.28,8.578,-14.606,-0.381,0.112,0.393,0.855,1.975,-11.332
0.104 sec,8.742,103.853,23.358,5.861,-6.091,25.47,1.208,-1.159,6.217,2.416,-2.317,12.435,24.644,16.131,-159.331,205.731,-0.226,0.326,0.399,4.945,4.853,-36.144,-0.331,0.088,0.389,15.531,8.582,-15.082,-0.38,0.114,0.394,0.862,2.004,-11.755
0.105 sec,8.968,102.008,22.602,5.8,-5.922,25.015,1.221,-1.153,6.096,2.443,-2.307,12.193,24.48,16.337,-166.354,205.273,-0.224,0.327,0.4,4.942,4.84,-36.399,-0.33,0.089,0.39,15.778,8.582,-15.549,-0.379,0.115,0.395,0.87,2.033,-12.171
0.106 sec,9.18,100.083,21.773,5.739,-5.736,24.539,1.236,-1.148,5.971,2.473,-2.295,11.941,24.308,16.546,-173.381,204.698,-0.222,0.327,0.401,4.94,4.826,-36.653,-0.33,0.09,0.39,16.029,8.578,-16.024,-0.379,0.116,0.396,0.879,2.063,-12.594
0.107 sec,9.363,98.164,20.916,5.68,-5.542,24.063,1.252,-1.142,5.845,2.504,-2.283,11.689,24.132,16.75,-180.2,204.023,-0.22,0.328,0.401,4.937,4.813,-36.897,-0.329,0.091,0.391,16.277,8.57,-16.492,-0.378,0.117,0.396,0.889,2.093,-13.011
0.108 sec,9.511,96.205,20.005,5.623,-5.333,23.575,1.269,-1.135,5.715,2.538,-2.271,11.431,23.948,16.953,-186.971,203.216,-0.219,0.329,0.402,4.934,4.8,-37.138,-0.328,0.092,0.391,16.527,8.558,-16.964,-0.377,0.119,0.397,0.901,2.123,-13.433
0.109 sec,9.616,94.229,19.058,5.568,-5.113,23.081,1.288,-1.129,5.583,2.575,-2.257,11.167,23.756,17.157,-193.687,202.275,-0.217,0.329,0.402,4.93,4.786,-37.375,-0.328,0.093,0.392,16.779,8.543,-17.439,-0.376,0.12,0.398,0.914,2.154,-13.858
0.11 sec,9.671,92.238,18.067,5.516,-4.88,22.58,1.307,-1.122,5.449,2.615,-2.243,10.898,23.559,17.359,-200.295,201.179,-0.215,0.33,0.403,4.927,4.773,-37.608,-0.327,0.093,0.392,17.031,8.523,-17.915,-0.375,0.121,0.398,0.929,2.185,-14.285
