time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.049 sec,-381.656,1012.405,90.179,9.992,-0.033,216.783,-2.076,-0.617,1.891,0,-0,-0,10.15,-10.016,212.948,-135.025,-0.338,0.322,0.369,4.923,7.912,-11.461,-0.337,0.053,0.362,-4.291,0.285,0.305,-0.39,0.064,0.354,3.658,6.278,-1.366
0.05 sec,-378.216,1023.922,100.47,9.744,-0.197,217.623,-2.11,-0.628,1.943,0,-0,-0,10.353,-10.142,209.092,-127.877,-0.337,0.322,0.368,4.983,7.923,-11.751,-0.336,0.053,0.362,-4.37,0.202,0.232,-0.39,0.065,0.353,3.687,6.26,-1.453
0.051 sec,-372.706,1042.534,115.92,9.582,-0.484,218.852,-2.143,-0.64,1.996,0,-0,-0,10.559,-10.265,205.706,-119.68,-0.336,0.322,0.368,5.045,7.928,-12.04,-0.336,0.053,0.362,-4.445,0.116,0.161,-0.39,0.065,0.353,3.718,6.236,-1.537
0.052 sec,-365.035,1066.759,134.135,9.478,-0.815,220.372,-2.173,-0.652,2.048,0,-0,-0,10.76,-10.378,202.828,-110.012,-0.334,0.321,0.368,5.107,7.928,-12.319,-0.336,0.053,0.361,-4.511,0.031,0.095,-0.39,0.065,0.353,3.75,6.209,-1.615
0.053 sec,-355.999,1094.588,151.774,9.363,-1.1,222.077,-2.2,-0.664,2.102,-0,-0,0,10.966,-10.485,200.208,-98.105,-0.333,0.321,0.368,5.17,7.927,-12.6,-0.336,0.053,0.361,-4.571,-0.052,0.029,-0.39,0.065,0.352,3.781,6.179,-1.691
0.054 sec,-346.516,1122.569,164.927,9.208,-1.234,223.775,-2.223,-0.675,2.156,-0,-0,0,11.169,-10.578,197.807,-84.585,-0.332,0.321,0.367,5.23,7.927,-12.872,-0.336,0.053,0.361,-4.623,-0.126,-0.033,-0.39,0.065,0.352,3.811,6.152,-1.761
0.055 sec,-338.96,1143.261,168.61,9.033,-1.225,225.051,-2.239,-0.684,2.208,-0,-0,0,11.357,-10.653,195.655,-70.987,-0.33,0.321,0.367,5.284,7.931,-13.121,-0.336,0.053,0.361,-4.663,-0.184,-0.088,-0.39,0.065,0.352,3.836,6.129,-1.822
0.056 sec,-333.056,1157.86,164.344,8.85,-1.16,225.989,-2.251,-0.693,2.263,-0,-0,0,11.555,-10.717,193.346,-56.514,-0.329,0.321,0.367,5.338,7.939,-13.38,-0.336,0.054,0.361,-4.697,-0.233,-0.144,-0.39,0.066,0.352,3.859,6.11,-1.884
0.057 sec,-328.927,1165.854,152.979,8.709,-1.06,226.543,-2.258,-0.702,2.318,-0,-0,0,11.751,-10.768,190.916,-42.788,-0.328,0.321,0.367,5.388,7.952,-13.634,-0.336,0.054,0.36,-4.723,-0.268,-0.197,-0.389,0.066,0.352,3.88,6.096,-1.942
0.058 sec,-324.584,1167.765,124.303,8.721,-1.002,226.502,-2.261,-0.709,2.373,-0,-0,0,11.94,-10.805,188.306,-31.61,-0.327,0.321,0.367,5.434,7.969,-13.876,-0.336,0.054,0.36,-4.741,-0.292,-0.247,-0.389,0.066,0.352,3.897,6.087,-1.995
