time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.096 sec,-285.387,1116.75,87.682,32.942,-0.273,249.268,4.496,0.835,2.824,13.382,3.817,6.336,19.963,30.403,65.412,-49.411,-0.305,0.304,0.427,6.698,-9.381,-18.096,-0.331,0.044,0.383,28.01,6.068,-1.426,-0.385,0.058,0.385,4.073,-12.49,0.961
0.097 sec,-285.88,1110.263,89.52,32.612,-1.228,248.33,4.448,0.811,2.854,13.226,3.75,6.411,20.027,30.351,59.338,-51.735,-0.304,0.304,0.427,6.757,-9.394,-18.197,-0.331,0.044,0.383,28.027,6.004,-1.444,-0.385,0.058,0.385,4.119,-12.509,0.919
0.098 sec,-286.317,1103.728,91.048,32.291,-2.05,247.345,4.404,0.787,2.88,13.084,3.686,6.475,20.081,30.301,53.671,-53.661,-0.304,0.304,0.428,6.812,-9.405,-18.29,-0.331,0.044,0.383,28.043,5.942,-1.466,-0.385,0.058,0.385,4.163,-12.525,0.876
0.099 sec,-286.661,1096.882,92.588,31.963,-2.796,246.268,4.362,0.764,2.905,12.947,3.621,6.535,20.129,30.249,48.085,-55.329,-0.303,0.304,0.428,6.866,-9.415,-18.381,-0.331,0.044,0.382,28.059,5.881,-1.492,-0.385,0.058,0.385,4.207,-12.539,0.829
0.1 sec,-286.899,1089.218,94.169,31.602,-3.515,245.015,4.318,0.74,2.928,12.805,3.551,6.592,20.175,30.192,42.19,-56.837,-0.303,0.304,0.428,6.925,-9.424,-18.478,-0.331,0.044,0.382,28.077,5.815,-1.523,-0.385,0.058,0.385,4.255,-12.552,0.775
0.101 sec,-287.038,1081.003,95.719,31.223,-4.177,243.625,4.275,0.715,2.95,12.665,3.479,6.645,20.216,30.132,36.223,-58.095,-0.302,0.304,0.428,6.984,-9.433,-18.575,-0.331,0.044,0.382,28.097,5.746,-1.56,-0.385,0.058,0.385,4.305,-12.564,0.716
0.102 sec,-287.034,1072.722,97.232,30.847,-4.748,242.175,4.235,0.69,2.969,12.534,3.409,6.692,20.25,30.073,30.49,-59.037,-0.302,0.304,0.429,7.043,-9.441,-18.669,-0.331,0.044,0.382,28.117,5.677,-1.6,-0.385,0.058,0.384,4.355,-12.573,0.653
0.103 sec,-286.874,1064.213,98.804,30.465,-5.259,240.635,4.196,0.666,2.986,12.409,3.339,6.732,20.278,30.012,24.858,-59.683,-0.302,0.304,0.429,7.101,-9.449,-18.761,-0.331,0.044,0.382,28.139,5.608,-1.644,-0.385,0.059,0.384,4.405,-12.582,0.587
0.104 sec,-286.6,1055.787,100.17,30.091,-5.682,239.072,4.161,0.643,3.001,12.293,3.271,6.766,20.3,29.953,19.506,-60.03,-0.301,0.304,0.429,7.158,-9.456,-18.849,-0.331,0.045,0.382,28.161,5.541,-1.691,-0.385,0.059,0.384,4.454,-12.589,0.519
0.105 sec,-286.265,1047.318,101.265,29.721,-6.033,237.471,4.128,0.621,3.013,12.185,3.205,6.795,20.316,29.895,14.363,-60.118,-0.301,0.304,0.429,7.213,-9.463,-18.933,-0.331,0.045,0.382,28.184,5.474,-1.74,-0.385,0.059,0.384,4.503,-12.595,0.448
0.106 sec,-285.904,1038.681,102.053,29.347,-6.327,235.815,4.097,0.599,3.023,12.084,3.14,6.818,20.327,29.838,9.356,-60,-0.3,0.304,0.43,7.269,-9.47,-19.016,-0.331,0.045,0.382,28.208,5.407,-1.792,-0.385,0.059,0.384,4.553,-12.6,0.375
